timestamp_ms,ax_g,ay_g,az_g
101875,0.458,0.484,0.471
101885,0.406,0.491,0.469
101895,0.37,0.494,0.472
101905,0.329,0.486,0.466
101915,0.265,0.459,0.475
101925,0.176,0.426,0.522
101935,0.083,0.407,0.586
101945,0.008,0.411,0.636
101955,-0.022,0.437,0.671
101965,-0.005,0.459,0.687
101975,0.048,0.47,0.692
101985,0.083,0.464,0.666
101995,0.077,0.462,0.622
102005,0.04,0.49,0.587
102015,0.013,0.525,0.568
102025,0.021,0.522,0.555
102035,0.042,0.502,0.554
102045,0.05,0.476,0.576
102055,0.023,0.45,0.605
102065,-0.017,0.422,0.63
102075,-0.05,0.409,0.639
102085,-0.079,0.404,0.621
102095,-0.103,0.394,0.575
102105,-0.145,0.381,0.514
102115,-0.186,0.357,0.455
102125,-0.216,0.318,0.419
102135,-0.238,0.271,0.442
102145,-0.276,0.224,0.478
102155,-0.276,0.224,0.478
102165,-0.327,0.209,0.494
102175,-0.402,0.202,0.492
102185,-0.464,0.208,0.486
102195,-0.479,0.205,0.477
102205,-0.48,0.182,0.488
102215,-0.465,0.126,0.477
102225,-0.451,0.055,0.474
102235,-0.446,-0.004,0.479
102245,-0.461,-0.026,0.498
102255,-0.477,-0.014,0.495
102265,-0.505,0.018,0.507
102275,-0.545,0.043,0.526
102285,-0.577,0.049,0.528
102295,-0.596,0.03,0.519
102305,-0.601,0.001,0.525
102315,-0.593,-0.036,0.518
102325,-0.592,-0.071,0.516
102335,-0.606,-0.088,0.503
102345,-0.63,-0.086,0.488
102355,-0.656,-0.062,0.481
102365,-0.677,-0.033,0.459
102375,-0.673,-0.006,0.445
102385,-0.654,-0.001,0.446
102395,-0.653,-0.018,0.454
102405,-0.669,-0.049,0.452
102415,-0.682,-0.069,0.445
102425,-0.684,-0.076,0.438
102435,-0.676,-0.078,0.415
102445,-0.645,-0.087,0.389
102455,-0.597,-0.109,0.33
102465,-0.557,-0.154,0.257
102475,-0.566,-0.219,0.216
102485,-0.638,-0.284,0.233
102495,-0.752,-0.307,0.251
102505,-0.885,-0.281,0.241
102515,-0.988,-0.213,0.208
102525,-1.017,-0.119,0.179
102535,-0.972,-0.041,0.145
102545,-0.912,-0.016,0.117
102555,-0.898,-0.034,0.086
102565,-0.913,-0.065,0.07
102575,-0.927,-0.079,0.07
102585,-0.917,-0.068,0.078
102595,-0.883,-0.048,0.073
102605,-0.833,-0.041,0.057
102615,-0.802,-0.035,0.044
102625,-0.801,-0.022,0.028
102635,-0.832,-0.013,0.009
102645,-0.876,-0.021,-0.031
102655,-0.889,-0.05,-0.053
102665,-0.862,-0.065,-0.064
102675,-0.819,-0.08,-0.064
102685,-0.807,-0.096,-0.073
102695,-0.829,-0.113,-0.079
102705,-0.861,-0.117,-0.066
102715,-0.906,-0.147,-0.078
102725,-0.935,-0.19,-0.078
102735,-0.942,-0.223,-0.063
102745,-0.898,-0.221,-0.052
102755,-0.812,-0.202,-0.056
102765,-0.719,-0.194,-0.074
102775,-0.673,-0.202,-0.098
102785,-0.699,-0.227,-0.112
102795,-0.781,-0.231,-0.083
102805,-0.898,-0.236,-0.055
102815,-0.992,-0.223,-0.032
102825,-1.014,-0.205,0.009
102835,-0.956,-0.184,0.045
102845,-0.856,-0.147,0.06
102855,-0.734,-0.083,0.062
102865,-0.617,-0.006,0.072
102875,-0.549,0.069,0.066
102885,-0.533,0.139,0.067
102895,-0.569,0.183,0.109
102905,-0.61,0.22,0.171
102915,-0.615,0.26,0.243
102925,-0.559,0.303,0.309
102935,-0.458,0.323,0.336
102945,-0.357,0.311,0.342
102955,-0.293,0.286,0.327
102965,-0.288,0.288,0.338
102975,-0.321,0.33,0.38
102985,-0.357,0.386,0.427
102995,-0.356,0.429,0.452
